Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
play_pong_50007253		Я проиграл...	game/script.rpy	291	"[what]"
play_pong_d3d7cf5f		Победа!	game/script.rpy	295	"[what]"
snake_done_af1075f6		Счёт: [snake.score]	game/script.rpy	545	"[what]"
start_b87dacca		Что это?	game/script.rpy	568	"[what]"
start_6da33703	p	Чип это, чувак. Его нужно доставить.	game/script.rpy	571	p "[what]"
start_b09065bb		За этим ты меня сегодня выдернул?	game/script.rpy	572	"[what]"
start_c7728a80	p	Чел, ты всё равно сейчас ничем толком не занят, вот я и подумал, почему бы не подкинуть тебе работку.	game/script.rpy	575	p "[what]"
start_b2b76f58		Может быть, лучше нанять профессионала. Я никогда курьером не работал, ты это знаешь.	game/script.rpy	576	"[what]"
start_710a31c8	p	Никогда не поздно начать, чувак, никогда не поздно...	game/script.rpy	577	p "[what]"
start_569c6868		Допустим, я соглашусь, но...	game/script.rpy	578	"[what]"
start_ad1c504b	p	Угу?	game/script.rpy	579	p "[what]"
start_501e9c7f		С делом ведь наверняка что-то нечисто.	game/script.rpy	580	"[what]"
start_c13f168c	p	Предположим.	game/script.rpy	581	p "[what]"
start_81ca5e66		В таком случае, мне бы хотелось хотя бы знать кто заказчик.	game/script.rpy	582	"[what]"
start_2da44298	p	Ничего не могу сказать, клиент настоял на анонимности.	game/script.rpy	583	p "[what]"
start_64d43fdb		Это тогда просто какой-то анекдот получается. Ты уговариваешь меня подписаться на дело, которое не просто сигнализирует, а орёт о том, что ни под каким предлогом в него не стоит влезать.	game/script.rpy	584	"[what]"
start_6e81d7f0	p	Ага. А оплаченный аванс, случаем, не сигнализирует тебе о том, что сомнения излишни?	game/script.rpy	585	p "[what]"
start_153b195b		Большие деньги, конечно, часто сопряжены с немалым риском, но здесь риск слишком велик.	game/script.rpy	586	"[what]"
start_863162f2	p	С каких пор это стало для тебя проблемой? Кончай набивать себе цену.	game/script.rpy	587	p "[what]"
start_bbe12625		Ладно, давай чип этот.	game/script.rpy	588	"[what]"
start_1b7016f4	p	Во! Это уже другой разговор.	game/script.rpy	589	p "[what]"
start_674caac8		Но мне всё один вопрос покоя не даёт.	game/script.rpy	590	"[what]"
start_95dfc618	p	Какой вопрос?	game/script.rpy	591	p "[what]"
start_bba31266		Почему из всего разнообразия он выбрал меня? Как он вообще на меня вышел? Почему он поручил это мне?	game/script.rpy	592	"[what]"
start_06c2d2a3	p	Ты лис, старый лис, может поэтому? Мало тех, кто бы мог так просто уходить от неприятностей. Уж не знаю, что за импланты у тебя стоят, но я ни о чём подобном больше не слышал. Кстати, про импланты, кошмары всё ещё мучают?	game/script.rpy	593	p "[what]"
start_3df78a13		Порой.	game/script.rpy	594	"[what]"
start_b4fc9e37	p	Странно, наномашины должны это подавлять.	game/script.rpy	595	p "[what]"
start_60801382		Ну...	game/script.rpy	596	"[what]"
start_49597c3f	p	Давай я тогда это поправлю.	game/script.rpy	597	p "[what]"
start_c59646e3		Не надо.	game/script.rpy	598	"[what]"
start_2aaa4ae1	p	Даже на халяву? Приятнее жить с кошмарами? Чел, тебя это не доконало?	game/script.rpy	599	p "[what]"
start_87f26538		Есть в этом что-то притягательное.	game/script.rpy	600	"[what]"
start_74b7838b	p	Да, чувак... Жесть ты приколист.	game/script.rpy	601	p "[what]"
start_a20cefa7		...	game/script.rpy	602	"[what]"
start_fc80f780	p	Это, анекдот хочешь?	game/script.rpy	603	p "[what]"
start_8786a070		Ну?	game/script.rpy	604	"[what]"
start_6470a25d	p	Сидят две древние хтонические сущности, погребённые в океане времени...	game/script.rpy	605	p "[what]"
start_1dbb48fe		Слышал уже, не надо.	game/script.rpy	606	"[what]"
start_5d577c31		{color=#888888}{i} После того, как всё полилось на голову Хартовской команде, статус кво изменился на 360, потом ещё на 360, а потом на 180, и всех Хартовских "пацанов" окатило помоями, как из ведра.{/i}{/color}	game/script.rpy	615	"[what]"
start_25203b60		{color=#888888}{i}Кто-то из них было пытался выгрести и уцепиться за какую-нибудь дощечку, кто-то просто вероломно, в панике, бежал с корабля, {/i}{/color}	game/script.rpy	616	"[what]"
start_bef323e0		{color=#888888}{i}но бо́льшая часть вела себя как коты, вынюхавшие пол тазика котовника и выжравшие аналогичную порцию валиума.{/i}{/color}	game/script.rpy	617	"[what]"
start_fd41be65		{color=#888888}{i}Складывалось ощущение, что бо́льшей части команды было плевать на то, что будет дальше, они настолько привыкли контролировать всё, что, потеряв точку опоры, начали биться в конвульсиях и вгрызаться друг другу в глотки.{/i}{/color}	game/script.rpy	618	"[what]"
start_07c8e338		{color=#888888}{i}В какой-то момент, очевидно, им всем предложили пойти на сделку. И что вы думаете?{/i}{/color}	game/script.rpy	619	"[what]"
start_702af4e5		{color=#888888}{i}Не прошло и секунды, как они стали закладывать друг друга, они запели так, будто от этого зависит судьба всего мира, а не их жалкое положение в обществе таких же свиней, как и они сами.{/i}{/color}	game/script.rpy	620	"[what]"
start_d9ca83e7		{color=#888888}{i}Люди Харта строили всю его предвыборную кампанию на сладостных речах про единство и веру в ближнего, а в итоге немедля сами друг друга же и позакладывали, лживые лицемеры.{/i}{/color}	game/script.rpy	621	"[what]"
start_b5467f8e		{color=#888888}{i}Единственной хорошей новостью из Денвера было сообщение о списке всех подозреваемых участников этого дела...{/i}{/color}	game/script.rpy	622	"[what]"
start_12d7057a		{color=#888888}{i}Меня в этом списке не было...{/i}{/color}	game/script.rpy	623	"[what]"
start_781271ae		{color=#888888}{i}Я испарился в очередной раз.{/i}{/color}	game/script.rpy	624	"[what]"
start_77cc3d65		{color=#888888}{i} Вдруг мне вспомнились строчки Леонарда Коэна:{/i}{/color}	game/script.rpy	626	"[what]"
start_91461ee5		{color=#888888}{i}When they poured across the border{/i}{/color}	game/script.rpy	627	"[what]"
start_d0e74496		{color=#888888}{i}I was cautioned to surrender{/i}{/color}	game/script.rpy	628	"[what]"
start_36245040		{color=#888888}{i}This I could not do;{/i}{/color}	game/script.rpy	629	"[what]"
start_25958272		{color=#888888}{i}I took my gun and vanished{/i}{/color}	game/script.rpy	630	"[what]"
